Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteOne,,,,2019-05-07 21:54:07,2019-05-07 21:54:12,"5,150s",PASSED
,,,,,,,
Test Cases/TesOne,,,,2019-05-07 21:54:08,2019-05-07 21:54:12,"4,771s",PASSED
"sendRequest(findTestObject(""CountryInfoSOAPService/GetCountryListByNames""))",,,,2019-05-07 21:54:08,2019-05-07 21:54:11,"2,811s",PASSED
"sendRequestAndVerify(findTestObject(""CountryInfoSOAPService/GetCountryListByNames""))",,,,2019-05-07 21:54:11,2019-05-07 21:54:12,"1,686s",PASSED
